time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/n_updates,train/std,train/loss,train/learning_rate,train/approx_kl,train/clip_fraction,train/explained_variance,train/clip_range,train/value_loss,train/entropy_loss,train/policy_gradient_loss
2048,-100.28165686666668,1,135.53333333333333,1383,1,,,,,,,,,,,
4096,-92.47371166666667,3,177.38095238095238,1124,2,10,0.9977978467941284,232.63221740722656,0.0003,0.00765216,0.05986328125,0.014485776424407959,0.2,483.6273150682449,-5.668787789344788,-0.00967123175796587
6144,-92.05677593939394,5,178.72727272727272,1061,3,20,1.007006049156189,6.0676069259643555,0.0003,0.011882629,0.125146484375,0.08997350931167603,0.2,95.88839166685939,-5.690271848440171,-0.015344889898551628
8192,-87.85169307317074,7,198.8780487804878,1033,4,30,1.011178731918335,156.52340698242188,0.0003,0.005232303,0.023828125,0.15807491540908813,0.2,249.4592942327261,-5.711458952724934,-0.0057007536699529735
10240,-91.3205053818182,10,186.1818181818182,1015,5,40,1.005468487739563,4.935307502746582,0.0003,0.007084093,0.0744140625,0.45905017852783203,0.2,93.4924541696906,-5.705513812601566,-0.008698444816400298
12288,-89.53012727419353,12,193.43548387096774,1005,6,50,1.0092172622680664,155.59033203125,0.0003,0.005791952,0.032568359375,0.24870097637176514,0.2,273.18722902536393,-5.702012133598328,-0.00692224623344373
14336,-88.66324054285715,14,200.07142857142858,998,7,60,1.0078610181808472,17.294206619262695,0.0003,0.0077163326,0.09755859375,0.6205376386642456,0.2,73.69441070333123,-5.710394655168057,-0.009398246447381098
16384,-86.8531573846154,16,209.26923076923077,992,8,70,1.005159854888916,8.504961967468262,0.0003,0.008840039,0.072119140625,0.6277265548706055,0.2,91.98880356252194,-5.697985954582691,-0.010927595043904148
18432,-84.60167646987952,18,221.51807228915663,986,9,80,1.0078699588775635,30.231924057006836,0.0003,0.0083880685,0.060205078125,0.6008278131484985,0.2,64.0502902686596,-5.696715478599072,-0.009201361981104128
20480,-82.13095517241379,20,234.32183908045977,982,10,90,0.9975687861442566,0.6585075855255127,0.0003,0.012537877,0.20859375,0.743790864944458,0.2,14.34424445424229,-5.691282676160336,-0.011773428396554663
22528,-79.90632778021978,23,246.0,979,11,100,0.9736577868461609,0.1122291088104248,0.0003,0.015011516,0.16171875,-0.1958540678024292,0.2,0.6417687032371759,-5.593212492763996,-0.012680183978227432
24576,-78.38721725773196,25,253.11340206185568,977,12,110,0.9726408123970032,0.23279300332069397,0.0003,0.009764772,0.125830078125,0.13813680410385132,0.2,0.7433135064318777,-5.565710289776325,-0.011144578747916967
26624,-75.94306225999999,27,264.65,974,13,120,0.9762088060379028,1.0715361833572388,0.0003,0.007286269,0.0302734375,0.25926512479782104,0.2,25.513841019477695,-5.564296479523182,-0.006331926677376032
28672,-73.56325131,29,276.19,970,14,130,0.9548428058624268,0.2999637722969055,0.0003,0.009710105,0.0984375,0.2154420018196106,0.2,0.4317619272507727,-5.5252455919981,-0.01143314268119866
30720,-70.19492550999999,31,293.71,969,15,140,0.9550827145576477,0.5006153583526611,0.0003,0.004644342,0.031640625,0.708444356918335,0.2,28.307228568941355,-5.488187909126282,-0.006591657595708966
32768,-69.85452955000001,33,295.11,968,16,150,0.9440577626228333,0.14941102266311646,0.0003,0.0090059545,0.09716796875,0.6919596195220947,0.2,0.3101197003154084,-5.461912198364734,-0.009778551565250381
34816,-67.82725821999999,35,303.76,967,17,160,0.9432082176208496,97.38932037353516,0.0003,0.005224089,0.017333984375,0.5896008014678955,0.2,101.25744412988425,-5.4404018625617026,-0.006780344172148034
36864,-65.20312987000001,38,316.45,967,18,170,0.9235107898712158,0.04460878297686577,0.0003,0.011651715,0.1365234375,0.22781795263290405,0.2,0.21354396506212653,-5.392892108857632,-0.010009284820989705
